Name,R1,R2,R3,R4,R5,R6,R7
YKL217W JEN1,0.714285714285714,0.952380952380952,1.03092783505155,0.793650793650794,1.08695652173913,11.1111111111111,14.2857142857143
YAL054C ACS1,0.628930817610063,0.87719298245614,1.0,0.87719298245614,0.813008130081301,2.77777777777778,12.5
YJR095W ACR1,0.65359477124183,0.72463768115942,2.12765957446809,0.91743119266055,0.884955752212389,2.56410256410256,12.5
YCR021c HSP30,0.578034682080925,1.01010101010101,3.7037037037037,2.94117647058824,1.81818181818182,12.5,10.0
YLR377C FBP1,0.854700854700855,0.980392156862745,1.19047619047619,0.892857142857143,0.91743119266055,1.38888888888889,14.2857142857143
YKR097W PCK1,0.91743119266055,0.884955752212389,1.35135135135135,0.943396226415094,0.840336134453782,1.33333333333333,14.2857142857143
YJL089W SIP4,0.645161290322581,0.78740157480315,0.847457627118644,0.87719298245614,0.840336134453782,2.17391304347826,8.33333333333333
YFL014W HSP12,0.900900900900901,1.2987012987013,1.53846153846154,3.03030303030303,4.76190476190476,12.5,11.1111111111111
YNL194C,0.819672131147541,1.02040816326531,1.0989010989011,0.892857142857143,1.23456790123457,14.2857142857143,10.0
YML128C,0.91743119266055,1.14942528735632,1.96078431372549,2.94117647058824,2.56410256410256,20.0,11.1111111111111
YGR160W,1.25,1.0752688172043,0.840336134453782,0.357142857142857,0.3584229390681,0.175746924428822,0.107758620689655
YER065c ICL1,1.08695652173913,1.12359550561798,1.44927536231884,1.06382978723404,0.900900900900901,1.44927536231884,12.5
YML054C CYB2,0.671140939597315,0.934579439252336,1.35135135135135,0.925925925925926,0.970873786407767,5.0,7.69230769230769
YNL117W MLS1,0.806451612903226,0.970873786407767,1.63934426229508,0.813008130081301,0.833333333333333,1.69491525423729,9.09090909090909
YER024w,0.826446280991736,0.900900900900901,1.12359550561798,0.78125,0.709219858156028,2.17391304347826,9.09090909090909
YLR174W IDP2,0.925925925925926,0.819672131147541,1.63934426229508,1.08695652173913,0.909090909090909,2.4390243902439,10.0
YBL015W ACH1,0.925925925925926,1.04166666666667,1.01010101010101,1.0752688172043,1.23456790123457,6.66666666666667,10.0
YDL204w,0.775193798449612,1.88679245283019,0.704225352112676,1.20481927710843,1.06382978723404,16.6666666666667,8.33333333333333
YER150w,0.99009900990099,1.13636363636364,2.22222222222222,2.85714285714286,3.03030303030303,11.1111111111111,10.0
YKL187C,1.03092783505155,1.05263157894737,1.14942528735632,0.892857142857143,0.757575757575758,4.34782608695652,10.0
YMR250W,0.943396226415094,1.38888888888889,2.04081632653061,3.44827586206897,4.34782608695652,8.33333333333333,9.09090909090909
YLL045c RPL4B,1.13636363636364,0.884955752212389,0.943396226415094,0.925925925925926,0.925925925925926,0.259067357512953,0.1194743130227
YOR310C,1.11111111111111,0.99009900990099,1.26582278481013,0.657894736842105,0.641025641025641,0.28328611898017,0.116959064327485
YLR180W SAM1,1.13636363636364,1.20481927710843,1.16279069767442,0.526315789473684,0.476190476190476,0.171232876712329,0.119617224880383
YDR171W HSP42,1.05263157894737,1.0989010989011,1.35135135135135,1.78571428571429,1.92307692307692,12.5,10.0
YBL049W,0.666666666666667,1.12359550561798,1.13636363636364,0.900900900900901,0.564971751412429,5.55555555555556,6.25
YIL053W GPP1,1.20481927710843,0.99009900990099,0.854700854700855,0.520833333333333,0.423728813559322,0.199203187250996,0.128700128700129
YDR418W RPL15A,1.14942528735632,1.12359550561798,1.21951219512195,0.869565217391304,0.869565217391304,0.29673590504451,0.12531328320802
YHR096C HXT5,0.91743119266055,0.970873786407767,1.58730158730159,1.25,0.8,2.7027027027027,8.33333333333333
YPL012W,1.06382978723404,0.826446280991736,0.900900900900901,0.442477876106195,0.333333333333333,0.128865979381443,0.118623962040332
YOR309C,1.14942528735632,1.02040816326531,1.17647058823529,0.641025641025641,0.769230769230769,0.233644859813084,0.128205128205128
YCR010C,0.714285714285714,0.775193798449612,1.17647058823529,0.775193798449612,0.746268656716418,1.44927536231884,6.25
YEL011w GLC3,0.819672131147541,1.08695652173913,1.40845070422535,1.78571428571429,1.40845070422535,6.25,7.14285714285714
YMR290C,1.08695652173913,0.854700854700855,0.847457627118644,0.448430493273543,0.377358490566038,0.156985871271586,0.125
YAL034C FUN19,0.531914893617021,1.20481927710843,0.925925925925926,0.613496932515337,0.684931506849315,3.57142857142857,4.54545454545455
YGR043C,0.740740740740741,0.602409638554217,0.961538461538461,0.925925925925926,0.892857142857143,11.1111111111111,6.25
YFL030W,0.574712643678161,0.719424460431655,1.13636363636364,0.833333333333333,1.02040816326531,2.08333333333333,4.76190476190476
YLR062C,1.13636363636364,0.961538461538461,1.04166666666667,0.78125,0.934579439252336,0.265957446808511,0.137174211248285
YLR413W,1.16279069767442,1.28205128205128,1.44927536231884,0.636942675159236,0.628930817610063,0.189035916824197,0.140845070422535
YLR196W PWP1,1.19047619047619,1.06382978723404,1.20481927710843,0.552486187845304,0.526315789473684,0.344827586206897,0.145348837209302
YPR137W,1.05263157894737,0.884955752212389,0.869565217391304,0.54054054054054,0.529100529100529,0.308641975308642,0.129032258064516
YHL015W URP2,1.12359550561798,1.25,1.0752688172043,0.943396226415094,0.884955752212389,0.286532951289398,0.138121546961326
YLR149C,0.833333333333333,0.91743119266055,0.87719298245614,1.51515151515152,1.21951219512195,5.55555555555556,6.66666666666667
YNR001C CIT1,1.13636363636364,1.36986301369863,1.5625,1.63934426229508,2.32558139534884,6.25,9.09090909090909
YLR340W RPLA0,1.14942528735632,1.25,1.38888888888889,0.943396226415094,0.735294117647059,0.285714285714286,0.145985401459854
YGL259W,0.909090909090909,0.952380952380952,1.38888888888889,1.5625,1.2987012987013,3.2258064516129,7.14285714285714
YNL141W,0.892857142857143,0.970873786407767,0.952380952380952,0.418410041841004,0.436681222707424,0.142045454545455,0.114155251141553
YFR015C GSY1,0.854700854700855,1.03092783505155,1.33333333333333,2.94117647058824,2.04081632653061,6.66666666666667,6.66666666666667
YGR236C,0.91743119266055,0.87719298245614,0.813008130081301,0.709219858156028,0.641025641025641,11.1111111111111,7.14285714285714
YOL084W,0.806451612903226,1.08695652173913,1.35135135135135,1.0,0.952380952380952,2.5,6.25
YKL109W HAP4,1.17647058823529,1.49253731343284,2.04081632653061,1.58730158730159,1.53846153846154,5.88235294117647,9.09090909090909
YDL085w,0.925925925925926,2.0,1.04166666666667,0.91743119266055,0.826446280991736,4.16666666666667,7.14285714285714
YLR312C,0.65359477124183,0.632911392405063,1.0,1.13636363636364,0.826446280991736,2.38095238095238,5.0
YNL119W,1.0989010989011,0.980392156862745,1.23456790123457,0.862068965517241,0.869565217391304,0.448430493273543,0.143884892086331
YOR100C,0.571428571428571,0.72992700729927,1.14942528735632,0.970873786407767,0.87719298245614,2.12765957446809,4.34782608695652
YKL026C,0.87719298245614,0.900900900900901,1.02040816326531,1.20481927710843,1.44927536231884,12.5,6.66666666666667
YHL021C,0.735294117647059,1.08695652173913,1.5625,2.0,1.72413793103448,7.69230769230769,5.55555555555556
YNL302C RPS16A,1.58730158730159,1.25,1.28205128205128,1.03092783505155,1.08695652173913,0.452488687782805,0.210526315789474
YNL096C,1.08695652173913,0.980392156862745,0.8,0.709219858156028,0.757575757575758,0.218340611353712,0.144508670520231
YLR048w NAB1B,1.25,1.17647058823529,1.36986301369863,0.925925925925926,0.78740157480315,0.26246719160105,0.166389351081531
YMR217W GUA1,1.11111111111111,1.08695652173913,1.13636363636364,0.4739336492891,0.413223140495868,0.324675324675325,0.150602409638554
YPR184W GDE,0.847457627118644,0.943396226415094,0.826446280991736,1.14942528735632,1.47058823529412,2.85714285714286,6.25
YLR339C,1.25,1.38888888888889,1.23456790123457,0.862068965517241,0.628930817610063,0.290697674418605,0.169779286926995
YDR417C,1.25,1.08695652173913,1.06382978723404,0.78740157480315,0.840336134453782,0.319488817891374,0.171232876712329
YGL076C RPL6A,1.05263157894737,0.75187969924812,0.980392156862745,0.578034682080925,0.558659217877095,0.308641975308642,0.144717800289436
YLR267W,0.91743119266055,1.08695652173913,1.20481927710843,0.925925925925926,0.714285714285714,3.125,6.66666666666667
YDR144C MKC7,1.0989010989011,0.970873786407767,0.813008130081301,0.546448087431694,0.452488687782805,0.186567164179104,0.151515151515152
YHL033C RPL4A,1.26582278481013,1.16279069767442,1.13636363636364,0.884955752212389,0.704225352112676,0.337837837837838,0.175131348511384
