Gene,Percent Change,AbsoluteChange
YOR255W,69.41176470588186,69.41176470588186
YGR265W,-69.40789473684204,69.40789473684204
YOR182C,-69.39890710382514,69.39890710382514
YMR122C,69.33333333333283,69.33333333333283
YJL021C,69.33333333333283,69.33333333333283
YGR123C,-69.20731707317071,69.20731707317071
YBR089W,-69.10828025477717,69.10828025477717
YPR033C,-69.05444126074502,69.05444126074502
YOL163W,69.047619047619,69.047619047619
YOR254C,-69.01840490797542,69.01840490797542
YJL172W,69.01408450704206,69.01408450704206
YMR014W,-68.96551724137933,68.96551724137933
YFL018C,68.96551724137841,68.96551724137841
YPR145W,-68.92857142857139,68.92857142857139
YKR096W,68.91891891891873,68.91891891891873
YLR276C,-68.88888888888906,68.88888888888906
YLR301W,-68.88888888888891,68.88888888888891
YGL263W,68.8888888888888,68.8888888888888
YJL194W,-68.85245901639342,68.85245901639342
YLR170C,68.85245901639324,68.85245901639324
YGR034W,-68.82716049382715,68.82716049382715
YNR038W,-68.8022284122563,68.8022284122563
YDR358W,68.74999999999997,68.74999999999997
YFL060C,68.74999999999993,68.74999999999993
YEL020c,68.74999999999993,68.74999999999993
YPL037C,-68.74999999999993,68.74999999999993
YIL077C,68.74999999999993,68.74999999999993
YBL054W,-68.72727272727273,68.72727272727273
YAL020C,68.67469879518029,68.67469879518029
YDR119W,-68.62745098039215,68.62745098039215
YEL060c,68.62745098039193,68.62745098039193
YLR093C,68.62745098039193,68.62745098039193
YBL087C,-68.60068259385665,68.60068259385665
YMR321C,-68.59756097560972,68.59756097560972
YGR187C,-68.59205776173279,68.59205776173279
YOR384W,68.51851851851816,68.51851851851816
YNL335W,68.49315068493146,68.49315068493146
YJL012C,-68.4587813620073,68.4587813620073
YGL238W,-68.45637583892608,68.45637583892608
YDR226W,-68.43971631205682,68.43971631205682
YER060w,-68.42105263157896,68.42105263157896
YNL255C,-68.36363636363629,68.36363636363629
YER059w,68.35443037974734,68.35443037974734
YLR179C,-68.32844574780063,68.32844574780063
YDL048c,68.25396825396861,68.25396825396861
YLR056w,-68.24512534818943,68.24512534818943
YGL004C,68.23529411764653,68.23529411764653
YOR276W,-68.22742474916393,68.22742474916393
YJL114W,68.18181818181864,68.18181818181864
YER120w,-68.1818181818182,68.1818181818182
YNL162W,-68.17042606516294,68.17042606516294
YHR196W,-68.14814814814821,68.14814814814821
YJR016C,-68.14516129032266,68.14516129032266
YDR338C,68.11594202898551,68.11594202898551
YLR222C,-68.10035842293918,68.10035842293918
YMR269W,-68.05555555555551,68.05555555555551
YOR357C,-68.02325581395345,68.02325581395345
YHR206W,-68.01346801346804,68.01346801346804
YDL164C,67.9487179487177,67.9487179487177
YLR003C,-67.92452830188665,67.92452830188665
YML093W,-67.9180887372013,67.9180887372013
YER049w,-67.89297658862887,67.89297658862887
YMR307W,-67.88617886178874,67.88617886178874
YJR047C,-67.85714285714283,67.85714285714283
YDR476C,67.81609195402272,67.81609195402272
YDL174C,67.79661016949174,67.79661016949174
YPR118W,-67.76859504132224,67.76859504132224
YER126c,-67.75362318840588,67.75362318840588
YER028c,67.74193548387079,67.74193548387079
YJL158C,-67.73049645390076,67.73049645390076
YGL253W,-67.72727272727265,67.72727272727265
YCL037c,-67.72151898734174,67.72151898734174
YKR025W,-67.69230769230764,67.69230769230764
YDL084w,-67.63636363636368,67.63636363636368
YNL066W,-67.59581881533097,67.59581881533097
YNL019C,67.56756756756737,67.56756756756737
YDL143W,-67.55725190839684,67.55725190839684
YLR208W,-67.48466257668707,67.48466257668707
YER070w,-67.42424242424244,67.42424242424244
YDR126W,67.3684210526318,67.3684210526318
YOL019W,-67.36842105263156,67.36842105263156
YMR037C,-67.35905044510389,67.35905044510389
YGL028C,-67.28624535315994,67.28624535315994
YER009w,-67.28624535315994,67.28624535315994
YDR083w,-67.27272727272721,67.27272727272721
YBR266C,-67.23549488054618,67.23549488054618
YBR122C,67.21311475409819,67.21311475409819
YDL184C,-67.16981132075465,67.16981132075465
YBR137W,67.16417910447804,67.16417910447804
YJR064W,-67.16417910447771,67.16417910447771
YDL184C,-67.15328467153282,67.15328467153282
YLR128W,67.14285714285725,67.14285714285725
YIR018W,67.10526315789458,67.10526315789458
YEL034w,-67.08463949843264,67.08463949843264
YLR291C,-67.07818930041152,67.07818930041152
YLR017W,-67.05426356589138,67.05426356589138
YDL051W,-67.02508960573479,67.02508960573479
YKL106W,-67.01754385964905,67.01754385964905
YOR168W,-66.92607003891038,66.92607003891038
YKR081C,-66.92307692307693,66.92307692307693
YNL013C,-66.90909090909092,66.90909090909092
YMR001C,-66.89419795221855,66.89419795221855
YOR294W,-66.88102893890672,66.88102893890672
YDL062w,-66.78082191780828,66.78082191780828
YKL157W,66.66666666666723,66.66666666666723
YLL060C,66.66666666666723,66.66666666666723
YIL119C,66.66666666666701,66.66666666666701
YNR054C,-66.66666666666671,66.66666666666671
YDR454C,-66.66666666666664,66.66666666666664
YMR011W,-66.66666666666656,66.66666666666656
