n_background	k_list	p_value
1520	21	0.007136047268498602
2870	33	0.007136941718520319
2280	28	0.007143391610204632
1730	23	0.007173646645258564
2630	31	0.0071851877053967905
3640	39	0.007197175021773736
2750	32	0.0072015482092653346
5210	49	0.007210962100998706
500	10	0.007219886070515786
3120	35	0.007224865717288409
1220	18	0.007245369203580431
1420	20	0.00726936381512206
5440	50	0.007297963693775432
2170	27	0.007306258350494104
1320	19	0.007310328316239684
1840	24	0.007333756763511437
4060	42	0.0073453602316147825
4670	46	0.007346820054262555
3510	38	0.007363146848871036
4510	45	0.007368568805026524
3250	36	0.007370029595253061
3780	40	0.007384687184645892
2060	26	0.007395816710043228
2400	29	0.00740266383358253
1950	25	0.007406559708744763
3380	37	0.0074186713836634196
1030	16	0.007423200188884626
3920	41	0.00744112065341374
4840	47	0.007450844144540791
3000	34	0.0074639346672234
1630	22	0.007484908458308171
210	6	0.007520633932977358
5020	48	0.00752818630231549
670	12	0.007560077442464649
4210	43	0.00757119275804579
2520	30	0.007582380629094835
4360	44	0.007596254038727855
2880	33	0.007620386454684245
2290	28	0.007653720271052233
2640	31	0.0076795716917991376
3650	39	0.007679908572194189
940	15	0.007689279915300051
2760	32	0.007692448816212792
350	8	0.007703761852702222
3130	35	0.007708631369835797
1530	21	0.007727765249049382
1130	17	0.007734934734663505
1740	23	0.0077374248529635935
760	13	0.007798134496733984
850	14	0.007826886756398456
150	5	0.007827746467493651
2180	27	0.007834673094269662
5220	49	0.00783785408546689
4070	42	0.007849058227137006
3520	38	0.007854146300287678
3260	36	0.007861122144860138
3790	40	0.007881344378017754
1430	20	0.007888637937422577
4680	46	0.007894496072923671
1850	24	0.007895072478471649
4520	45	0.007902161099148966
1230	18	0.007906943941597846
3390	37	0.007912313670606
2410	29	0.00792162704634793
2070	26	0.007939019550066347
3930	41	0.007945214140430737
1330	19	0.007953266686700832
1960	25	0.007960867630962308
3010	34	0.007963748862039858
280	7	0.007965445976675641
5450	50	0.008003175946445307
590	11	0.008018588900387865
4850	47	0.008026564540406017
1640	22	0.008084041900747711
4220	43	0.008096231804628198
2530	30	0.00810578842749704
50	3	0.008106792724976825
2890	33	0.008132236303597593
4370	44	0.008132499398233264
5030	48	0.008138528149499747
1040	16	0.008156177950594104
3660	39	0.008191332793750688
2300	28	0.00819513237373411
2650	31	0.008203255816033208
2770	32	0.008212269029729805
430	9	0.008217584844729862
3140	35	0.008220678565563294
510	10	0.008274433284699038
1750	23	0.008338258334725344
1540	21	0.008360162650105788
3530	38	0.008374030511026743
3270	36	0.00838087156122808
4080	42	0.008383747353180794
2190	27	0.008395532294115283
3800	40	0.008407702399686919
3400	37	0.008434820723773257
1140	17	0.008460930750667608
4530	45	0.008471007569744424
2420	29	0.00847168592101656
4690	46	0.008479694727307951
3940	41	0.008479798219361843
950	15	0.008480227670284128
680	12	0.00849157167254167
1860	24	0.008492441906969482
3020	34	0.008492658995336024
2080	26	0.008515955781725745
5230	49	0.008516651269732943
1970	25	0.008550116281988067
1440	20	0.008551415057330996
1240	18	0.008617807320814514
1340	19	0.00864258517993461
4860	47	0.00864351973320264
4230	43	0.008654082579668048
2540	30	0.008660163245175195
860	14	0.00867248725882144
2900	33	0.008673854174147597
770	13	0.008692042412947857
4380	44	0.008703047281680464
1650	22	0.008723057259273597
3670	39	0.008732888318555523
2660	31	0.008757641928279195
3150	35	0.008762371653276256
2780	32	0.008762391722608195
2310	28	0.008769130773245756
5460	50	0.0087750431400638
5040	48	0.008795246535652971
3540	38	0.008924224791598143
3280	36	0.00893066410979509
1050	16	0.008947420377662855
4090	42	0.008951069862686678
3810	40	0.008965269590597937
1760	23	0.008978018278491751
3410	37	0.008987599362479858
2200	27	0.008990405466416523
1550	21	0.009035356295490918
3950	41	0.009046449081388127
3030	34	0.009052052460973058
2430	29	0.009054324811839027
600	11	0.009069193576306273
360	8	0.009077105953454526
4540	45	0.009077166062940744
4700	46	0.009104712318148085
1870	24	0.009127653991378645
2090	26	0.009128264305058248
1980	25	0.009176017440077362
1150	17	0.009242067481105573
4240	43	0.009246522614390476
2910	33	0.00924664852948992
2550	30	0.009246970935481855
5240	49	0.009251398344818466
1450	20	0.00925998563436892
4870	47	0.009304381184505163
100	4	0.009305223891454436
3680	39	0.009306070274827152
4390	44	0.009309815843597214
3160	35	0.009335121977344088
960	15	0.009336116365658434
2670	31	0.009344177260843823
2790	32	0.009344245127761101
220	6	0.009366228454732886
2320	28	0.009377265362617125
1250	18	0.00938066058824427
1350	19	0.009380767572484483
1660	22	0.009403972651444291
520	10	0.009445612461974204
5050	48	0.009501581083965953
440	9	0.009502003066588402
3550	38	0.009506206564683988
3290	36	0.009511934424355847
690	12	0.009512205490148808
4100	42	0.009552736259777749
3820	40	0.009555612606020942
3420	37	0.009572106476141526
290	7	0.009583003777407369
870	14	0.009590369441405714
5470	50	0.009619724978777458
2210	27	0.009620910208208426
3040	34	0.009643362998442909
3960	41	0.009646805783266373
1770	23	0.009658631475725904
780	13	0.009666290284242048
2440	29	0.009671074304637444
4550	45	0.009722793491253072
1560	21	0.009755524823747086
4710	46	0.00977196345345627
2100	26	0.009777633396492553
1060	16	0.00980025074924527
1880	24	0.009802550712466806
1990	25	0.009840333882766552
2920	33	0.009852073697289604
2560	30	0.009867723091882764
4250	43	0.009875405914929431
3690	39	0.009912429192563486
3170	35	0.009940388333662594
4400	44	0.009954809854716369
2800	32	0.009959303062400027
2680	31	0.009964354579717002
